番号,集数,名字,播放量,投稿时间,作者,收藏数,硬币数,评论数,弹幕数,标签
16086357,1,【480P/DVDRip】学园救援团 SKET Dance OVA【异域】,196,2017-11-07 00:27,notqiao,4,0,3,0,"['日本动画', '熟肉']"
16031515,1,【580P/DVDRip】蒸汽男孩 【粤语中字】,133,2017-11-07 00:00,B站有丶毒,8,1,0,0,"['蒸汽男孩', '粤语中字', '蒸汽']"
16025636,1,【720P】Little Busters! 番外篇【L&F】,811,2017-11-06 13:05,萨潞法迩,81,9,22,1,"['堀江由衣', '绿川光', '神奈延年', '搞笑', '奇幻']"
15968436,13,【合集】DOG DAYS' 【独家正版】,6093,2017-11-06 12:23,哔哩哔哩番剧,447,111,443,168,['BONES']
16071632,12,【720P/BDRip】薄樱鬼 第三季：黎明录【WOLF字幕组】,377,2017-11-06 12:06,呆毛无节操,24,2,3,3,"['薄樱鬼', 'TV动画', '合集', '黎明录', 'BDRip']"
16059232,1,【1992年11月30日播出-日语中字】蜡笔小新-动物园玩儿的很愉快/我也想要年终礼品,5245,2017-11-06 11:27,绿光战警,207,36,15,64,"['蜡笔小新', '蜡笔小新国语', '蜡笔小新日语', '蜡笔小新TV', '蜡笔小新买', '蜡笔小新礼物']"
16065152,10,【1080P】魔法少女☆伊莉雅 2WEI HERZ!【英配生肉】,26925,2017-11-06 11:04,无所事事哈士奇,2150,104,252,84,"['日本动画', '萝莉', '魔法少女☆伊莉雅', '魔法少女', '生肉', '奇幻', 'TV动画', '1080P']"
16066685,1,【SP/720P】Princess Principal SP02【DHR百合組】,611,2017-11-06 10:11,爱妹无双,31,3,10,2,"['百合', 'BDRIP', '720P', 'sp']"
16061165,1,【DVDrip480P】不来梅四重奏/四神奇/地狱中的天使 1981【中文字幕】,94,2017-11-06 10:04,杀车片,15,2,2,15,"['剧场版', '手冢治虫', '四神奇', '地狱中的天使', '不来梅四重奏']"
16050559,52,【DVDrip480P】霸王大系龙骑士 1994 【中文字幕】,585,2017-11-06 09:58,hungry小浩纸,91,8,5,0,"['日本动画', '霸王大系龙骑士']"
16030639,12,【720P/BDRip】就算是哥哥有爱就没问题了对吧【生肉】,--,2017-11-06 09:54,一椎名真白一,12,2,2,0,"['TV动画', '就算是哥哥有爱就没问题了对吧', '生肉', '1080P']"
16049505,1,【1080P】TIGER & BUNNY -The Rising 2014【英配中字】,539,2017-11-05 18:38,Toku.,33,3,2,0,"['日本动画', '1080P']"
16028815,13,【360P/DVDRip】学园天堂 全13话【猪猪字幕社】,492,2017-11-05 18:22,最暖不过白石君,31,0,7,7,['合集']
16021371,1,【BD720P】Princess Principal SP02 (Picture Drama)【茉语星梦&风之圣殿】,6469,2017-11-05 15:12,某壮QwQ,466,51,43,28,"['日本动画', 'Princess Principal']"
16015593,12,【720P】幻想嘉年华【生肉】,4247,2017-11-05 12:42,混沌无双咕哒子,195,6,14,6,"['搞笑', '动漫', '后宫', 'BILIBILI正版', 'TV动画']"
16035111,26,【1080P】《EVA 新世纪福音战士》【国语】(1995),33065,2017-11-05 12:37,小文嗨嗨,7567,483,445,709,"['EVA', 'TV动画', '经典', '日本动画', '热血', '1080P']"
16032538,1,【1080P】《MEMORIES 回忆三部曲》【大友克洋】(1995),1636,2017-11-05 11:46,小文嗨嗨,383,15,9,1,"['日本动画', '剧场版', '1080P']"
16029581,1,【剧场版】被狙击的学园【英配生肉】,977,2017-11-05 10:36,无所事事哈士奇,114,7,6,0,"['日本动画', '校园']"
16021662,1,【480P/DVDRip】我们这一家剧场版2  超能力花师奶【粤语版】【中文字幕】,552,2017-11-05 10:18,B站有丶毒,43,2,3,0,"['我们这一家', '动画', '搞笑', '粤语版']"
